frame_path,angle
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230036_979.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223607_612.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225812_863.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223925_102.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223612_603.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230359_086.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225810_977.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225813_757.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231001_314.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230252_218.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230538_706.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230738_316.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230108_710.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224053_965.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223805_226.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231023_318.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224209_585.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224359_965.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230512_702.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230457_331.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230030_217.jpg,30
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225953_094.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225759_727.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231040_691.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230202_850.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230039_224.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230240_595.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230807_572.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230616_571.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225538_247.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230445_964.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223811_249.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225755_979.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230346_705.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230458_955.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230044_358.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230113_587.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230322_836.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224148_340.jpg,90
